col_a,col_b,col_c,col_d
GR-0013330,PO-0016379,2025-06-19,50
GR-0013331,PO-0016380,2026-04-25,100
GR-0013332,PO-0016381,2025-04-27,500
GR-0013333,PO-0016382,2025-10-18,200
GR-0013334,PO-0016383,2026-04-21,200
GR-0013335,PO-0016385,2025-01-16,821
GR-0013336,PO-0016386,2026-03-13,50
GR-0013337,PO-0016387,2025-02-08,200
GR-0013338,PO-0016389,2024-07-12,100
GR-0013339,PO-0016392,2026-06-20,50
GR-0013340,PO-0016393,2024-06-02,500
GR-0013341,PO-0016394,2026-04-07,100
GR-0013342,PO-0016395,2026-01-29,1000
GR-0013343,PO-0016397,2025-10-31,100
GR-0013344,PO-0016398,2025-07-17,100
GR-0013345,PO-0016399,2025-12-19,1000
GR-0013346,PO-0016400,2024-09-07,1000
GR-0013347,PO-0016402,2025-11-21,1000
GR-0013348,PO-0016403,2024-10-25,200
GR-0013349,PO-0016404,2025-04-08,1000
GR-0013350,PO-0016405,2025-11-25,200
GR-0013351,PO-0016407,2025-12-28,100
GR-0013352,PO-0016408,2025-02-25,1000
GR-0013353,PO-0016409,2025-01-23,1000
GR-0013354,PO-0016410,2025-11-26,100
GR-0013355,PO-0016411,2024-06-05,200
GR-0013356,PO-0016412,2026-03-27,200
GR-0013357,PO-0016413,2025-06-10,1000
GR-0013358,PO-0016414,2026-02-28,1000
GR-0013359,PO-0016415,2026-05-27,500
GR-0013360,PO-0016416,2026-04-23,1000
GR-0013361,PO-0016417,2024-11-02,100
GR-0013362,PO-0016418,2026-03-05,100
GR-0013363,PO-0016419,2024-08-23,200
GR-0013364,PO-0016420,2024-07-30,500
GR-0013365,PO-0016421,2025-08-03,1000
GR-0013366,PO-0016422,2025-10-27,100
GR-0013367,PO-0016423,2024-12-24,100
GR-0013368,PO-0016424,2025-03-20,1000
GR-0013369,PO-0016425,2024-09-22,200
GR-0013370,PO-0016426,2026-02-23,1000
GR-0013371,PO-0016427,2025-12-18,1000
GR-0013372,PO-0016428,2025-10-14,95
GR-0013373,PO-0016429,2025-08-12,946
GR-0013374,PO-0016430,2024-12-25,500
GR-0013375,PO-0016431,2024-07-06,200
GR-0013376,PO-0016432,2024-09-24,50
GR-0013377,PO-0016433,2026-01-06,200
GR-0013378,PO-0016434,2024-04-24,200
GR-0013379,PO-0016435,2025-08-08,1000
GR-0013380,PO-0016436,2025-03-11,500
GR-0013381,PO-0016437,2025-04-21,500
GR-0013382,PO-0016438,2024-08-18,1000
GR-0013383,PO-0016439,2024-04-18,50
GR-0013384,PO-0016440,2025-01-16,1000
GR-0013385,PO-0016442,2024-09-04,200
GR-0013386,PO-0016443,2024-08-01,1000
GR-0013387,PO-0016444,2024-04-21,100
GR-0013388,PO-0016445,2025-11-18,200
GR-0013389,PO-0016446,2026-03-20,100
GR-0013390,PO-0016447,2025-11-10,500
GR-0013391,PO-0016448,2024-04-07,50
GR-0013392,PO-0016449,2025-04-14,500
GR-0013393,PO-0016450,2024-11-05,200
GR-0013394,PO-0016451,2025-10-09,50
GR-0013395,PO-0016452,2026-03-06,200
GR-0013396,PO-0016454,2024-02-06,50
GR-0013397,PO-0016455,2024-05-21,50
GR-0013398,PO-0016456,2024-12-13,100
GR-0013399,PO-0016457,2025-01-07,500
GR-0013400,PO-0016458,2025-07-30,500
GR-0013401,PO-0016459,2025-01-29,200
GR-0013402,PO-0016460,2024-07-13,200
GR-0013403,PO-0016461,2024-05-25,100
GR-0013404,PO-0016462,2025-11-19,50
GR-0013405,PO-0016465,2024-04-05,200
GR-0013406,PO-0016467,2024-12-29,500
GR-0013407,PO-0016468,2026-02-17,50
GR-0013408,PO-0016469,2026-05-27,500
GR-0013409,PO-0016471,2024-03-27,200
GR-0013410,PO-0016472,2026-03-03,500
GR-0013411,PO-0016473,2026-04-13,1000
GR-0013412,PO-0016474,2024-12-09,1000
GR-0013413,PO-0016475,2025-09-14,100
GR-0013414,PO-0016477,2025-09-22,50
GR-0013415,PO-0016479,2025-05-18,500
GR-0013416,PO-0016480,2024-08-22,100
GR-0013417,PO-0016481,2024-10-06,1000
GR-0013418,PO-0016482,2026-02-26,200
GR-0013419,PO-0016483,2026-02-06,200
GR-0013420,PO-0016485,2024-03-11,100
GR-0013421,PO-0016486,2025-05-15,500
GR-0013422,PO-0016487,2024-11-03,200
GR-0013423,PO-0016488,2024-08-05,50
GR-0013424,PO-0016489,2024-12-27,100
GR-0013425,PO-0016490,2025-09-22,1000
GR-0013426,PO-0016491,2024-07-18,50
GR-0013427,PO-0016492,2024-04-08,50
GR-0013428,PO-0016495,2024-02-28,500
GR-0013429,PO-0016496,2024-09-21,50
GR-0013430,PO-0016497,2026-01-17,500
GR-0013431,PO-0016498,2025-12-16,1000
GR-0013432,PO-0016499,2024-01-20,1000
GR-0013433,PO-0016501,2024-11-15,500
GR-0013434,PO-0016503,2026-04-06,175
GR-0013435,PO-0016504,2025-01-26,200
GR-0013436,PO-0016505,2026-04-09,100
GR-0013437,PO-0016506,2026-02-20,100
GR-0013438,PO-0016507,2025-05-27,100
GR-0013439,PO-0016508,2025-01-13,1000
GR-0013440,PO-0016509,2026-05-01,500
GR-0013441,PO-0016510,2025-04-14,50
GR-0013442,PO-0016511,2025-11-21,100
GR-0013443,PO-0016512,2026-04-05,200
GR-0013444,PO-0016513,2024-11-13,100
GR-0013445,PO-0016514,2024-07-08,50
GR-0013446,PO-0016515,2025-08-27,100
GR-0013447,PO-0016516,2025-03-15,200
GR-0013448,PO-0016517,2026-02-15,1000
GR-0013449,PO-0016518,2025-10-27,50
GR-0013450,PO-0016521,2025-10-12,200
GR-0013451,PO-0016522,2024-07-30,100
GR-0013452,PO-0016523,2025-11-04,500
GR-0013453,PO-0016524,2024-04-13,378
GR-0013454,PO-0016525,2024-04-06,50
GR-0013455,PO-0016527,2024-06-30,100
GR-0013456,PO-0016528,2025-10-29,200
GR-0013457,PO-0016529,2025-09-20,100
GR-0013458,PO-0016531,2025-12-30,1000
GR-0013459,PO-0016532,2025-01-17,100
GR-0013460,PO-0016533,2026-04-17,1000
GR-0013461,PO-0016534,2024-05-16,1000
GR-0013462,PO-0016536,2024-08-21,200
GR-0013463,PO-0016537,2024-03-23,50
GR-0013464,PO-0016538,2026-04-04,100
GR-0013465,PO-0016539,2026-01-09,50
GR-0013466,PO-0016540,2025-05-12,50
GR-0013467,PO-0016541,2025-03-09,50
GR-0013468,PO-0016542,2024-09-02,85
GR-0013469,PO-0016543,2025-05-30,200
GR-0013470,PO-0016544,2025-07-08,50
GR-0013471,PO-0016545,2024-09-06,500
GR-0013472,PO-0016546,2025-05-04,500
GR-0013473,PO-0016548,2024-06-14,200
GR-0013474,PO-0016549,2025-09-17,200
GR-0013475,PO-0016551,2025-03-04,200
GR-0013476,PO-0016553,2025-05-16,500
GR-0013477,PO-0016554,2025-10-22,500
GR-0013478,PO-0016555,2025-12-23,500
GR-0013479,PO-0016556,2025-10-09,500
GR-0013480,PO-0016557,2026-04-24,1000
GR-0013481,PO-0016558,2024-05-13,50
GR-0013482,PO-0016559,2025-03-18,200
GR-0013483,PO-0016560,2024-12-12,50
GR-0013484,PO-0016562,2025-08-05,500
GR-0013485,PO-0016563,2024-07-14,1000
GR-0013486,PO-0016564,2026-04-21,38
GR-0013487,PO-0016565,2024-10-15,1000
GR-0013488,PO-0016567,2024-11-21,500
GR-0013489,PO-0016568,2024-11-04,100
GR-0013490,PO-0016569,2025-10-23,1000
GR-0013491,PO-0016570,2024-10-04,1000
GR-0013492,PO-0016571,2024-04-18,50
GR-0013493,PO-0016573,2024-11-25,1000
GR-0013494,PO-0016574,2025-11-17,1000
GR-0013495,PO-0016575,2026-04-25,1000
GR-0013496,PO-0016576,2025-03-30,1000
GR-0013497,PO-0016577,2026-01-28,735
GR-0013498,PO-0016578,2024-05-03,100
GR-0013499,PO-0016580,2026-01-16,1000
GR-0013500,PO-0016581,2025-01-07,50
GR-0013501,PO-0016583,2025-04-27,48
GR-0013502,PO-0016584,2026-02-05,500
GR-0013503,PO-0016587,2025-02-25,200
GR-0013504,PO-0016588,2025-07-21,100
GR-0013505,PO-0016589,2026-01-21,50
GR-0013506,PO-0016592,2025-02-23,442
GR-0013507,PO-0016593,2026-01-04,100
GR-0013508,PO-0016595,2025-04-15,816
GR-0013509,PO-0016596,2026-05-14,200
GR-0013510,PO-0016597,2025-09-02,50
GR-0013511,PO-0016598,2025-12-14,1000
GR-0013512,PO-0016599,2025-07-10,200
GR-0013513,PO-0016600,2025-04-20,100
GR-0013514,PO-0016601,2025-12-02,500
GR-0013515,PO-0016602,2024-03-16,200
GR-0013516,PO-0016603,2024-11-21,200
GR-0013517,PO-0016604,2024-12-30,50
GR-0013518,PO-0016605,2024-11-14,50
GR-0013519,PO-0016606,2025-06-05,1000
GR-0013520,PO-0016607,2026-02-17,1000
GR-0013521,PO-0016608,2024-04-02,1000
GR-0013522,PO-0016609,2025-12-20,50
GR-0013523,PO-0016610,2026-01-14,200
GR-0013524,PO-0016611,2025-01-21,200
GR-0013525,PO-0016612,2025-08-30,50
GR-0013526,PO-0016613,2024-06-20,50
GR-0013527,PO-0016614,2025-01-30,100
GR-0013528,PO-0016615,2026-03-22,1000
GR-0013529,PO-0016616,2025-04-27,200
GR-0013530,PO-0016617,2025-02-22,1000
GR-0013531,PO-0016619,2025-10-28,50
GR-0013532,PO-0016621,2025-07-22,100
GR-0013533,PO-0016623,2025-11-02,500
GR-0013534,PO-0016624,2024-11-03,100
GR-0013535,PO-0016626,2025-08-04,100
GR-0013536,PO-0016629,2025-08-09,500
GR-0013537,PO-0016630,2024-06-22,200
GR-0013538,PO-0016631,2024-09-10,1000
GR-0013539,PO-0016632,2025-06-09,200
GR-0013540,PO-0016633,2024-11-13,1000
GR-0013541,PO-0016635,2024-01-20,500
GR-0013542,PO-0016636,2025-04-08,50
GR-0013543,PO-0016637,2025-08-16,500
GR-0013544,PO-0016638,2026-03-07,500
GR-0013545,PO-0016639,2024-12-18,1000
GR-0013546,PO-0016640,2024-10-09,50
GR-0013547,PO-0016641,2024-07-02,500
GR-0013548,PO-0016642,2026-05-03,1000
GR-0013549,PO-0016643,2024-04-25,500
GR-0013550,PO-0016644,2025-04-23,1000
GR-0013551,PO-0016645,2026-03-19,1000
GR-0013552,PO-0016646,2024-04-01,200
GR-0013553,PO-0016647,2026-02-25,100
GR-0013554,PO-0016648,2024-05-17,500
GR-0013555,PO-0016649,2024-10-29,500
GR-0013556,PO-0016650,2024-04-27,200
GR-0013557,PO-0016652,2026-01-19,100
GR-0013558,PO-0016656,2025-09-14,100
GR-0013559,PO-0016657,2025-08-04,100
GR-0013560,PO-0016658,2025-04-03,100
GR-0013561,PO-0016659,2026-03-21,200
GR-0013562,PO-0016660,2026-05-18,500
GR-0013563,PO-0016661,2024-03-06,39
GR-0013564,PO-0016662,2025-09-22,989
GR-0013565,PO-0016663,2024-08-04,500
GR-0013566,PO-0016664,2025-09-02,200
GR-0013567,PO-0016666,2025-05-23,500
GR-0013568,PO-0016667,2024-06-06,200
GR-0013569,PO-0016668,2026-03-31,153
GR-0013570,PO-0016669,2024-05-18,50
GR-0013571,PO-0016670,2024-11-12,500
GR-0013572,PO-0016671,2026-02-24,500
GR-0013573,PO-0016672,2024-10-16,175
GR-0013574,PO-0016673,2026-04-18,500
GR-0013575,PO-0016674,2025-07-03,500
GR-0013576,PO-0016675,2024-12-26,50
GR-0013577,PO-0016676,2025-07-03,50
GR-0013578,PO-0016677,2024-10-22,50
GR-0013579,PO-0016679,2025-12-12,50
GR-0013580,PO-0016680,2025-05-11,500
GR-0013581,PO-0016681,2025-07-17,100
GR-0013582,PO-0016682,2025-05-09,1000
GR-0013583,PO-0016685,2024-09-29,1000
GR-0013584,PO-0016686,2025-02-25,86
GR-0013585,PO-0016689,2026-04-26,1000
GR-0013586,PO-0016690,2025-10-25,50
GR-0013587,PO-0016691,2025-12-02,100
GR-0013588,PO-0016692,2024-10-06,500
GR-0013589,PO-0016693,2025-04-07,100
GR-0013590,PO-0016695,2025-04-22,1000
GR-0013591,PO-0016696,2026-03-26,100
GR-0013592,PO-0016698,2026-02-24,100
GR-0013593,PO-0016699,2024-03-21,200
GR-0013594,PO-0016700,2025-08-05,50
GR-0013595,PO-0016702,2024-05-19,1000
GR-0013596,PO-0016704,2024-11-15,200
GR-0013597,PO-0016706,2025-07-26,100
GR-0013598,PO-0016707,2024-10-25,200
GR-0013599,PO-0016708,2026-04-15,100
GR-0013600,PO-0016709,2024-09-24,50
GR-0013601,PO-0016710,2024-06-05,200
GR-0013602,PO-0016711,2025-10-02,200
GR-0013603,PO-0016712,2025-03-14,500
GR-0013604,PO-0016713,2024-07-25,50
GR-0013605,PO-0016714,2025-08-04,1000
GR-0013606,PO-0016715,2025-06-25,200
GR-0013607,PO-0016716,2024-04-17,50
GR-0013608,PO-0016717,2026-01-23,100
GR-0013609,PO-0016718,2025-12-11,849
GR-0013610,PO-0016719,2025-06-12,1000
GR-0013611,PO-0016720,2025-06-23,76
GR-0013612,PO-0016721,2024-12-22,200
GR-0013613,PO-0016722,2026-06-09,200
GR-0013614,PO-0016723,2024-05-12,50
GR-0013615,PO-0016724,2024-10-30,50
GR-0013616,PO-0016725,2025-07-31,1000
GR-0013617,PO-0016727,2025-11-23,50
GR-0013618,PO-0016728,2024-03-01,50
GR-0013619,PO-0016729,2024-10-22,1000
GR-0013620,PO-0016730,2024-05-18,200
GR-0013621,PO-0016731,2025-07-13,200
GR-0013622,PO-0016732,2026-01-09,500
GR-0013623,PO-0016735,2024-06-16,50
GR-0013624,PO-0016736,2025-10-24,50
GR-0013625,PO-0016737,2025-05-10,100
GR-0013626,PO-0016739,2025-12-04,500
GR-0013627,PO-0016740,2024-07-06,200
GR-0013628,PO-0016741,2025-10-25,50
GR-0013629,PO-0016743,2026-05-18,50
GR-0013630,PO-0016744,2026-04-09,500
GR-0013631,PO-0016745,2026-04-08,1000
GR-0013632,PO-0016746,2024-10-23,50
GR-0013633,PO-0016747,2025-02-01,50
GR-0013634,PO-0016748,2024-05-09,50
GR-0013635,PO-0016749,2025-04-29,50
GR-0013636,PO-0016751,2026-01-20,200
GR-0013637,PO-0016752,2025-02-14,50
GR-0013638,PO-0016753,2025-07-20,500
GR-0013639,PO-0016754,2025-07-21,727
GR-0013640,PO-0016755,2026-02-27,1000
GR-0013641,PO-0016756,2025-03-17,1000
GR-0013642,PO-0016757,2025-04-19,1000
GR-0013643,PO-0016758,2025-11-29,50
GR-0013644,PO-0016759,2025-11-01,500
GR-0013645,PO-0016764,2025-07-22,500
GR-0013646,PO-0016765,2024-12-13,447
GR-0013647,PO-0016767,2024-11-27,50
GR-0013648,PO-0016769,2026-02-02,200
GR-0013649,PO-0016770,2024-10-12,100
GR-0013650,PO-0016771,2025-02-16,100
GR-0013651,PO-0016773,2025-12-05,500
GR-0013652,PO-0016774,2025-09-27,100
GR-0013653,PO-0016775,2024-04-07,500
GR-0013654,PO-0016776,2024-08-03,100
GR-0013655,PO-0016777,2024-06-02,50
GR-0013656,PO-0016778,2026-04-25,200
GR-0013657,PO-0016779,2025-10-08,50
GR-0013658,PO-0016780,2025-02-04,1000
GR-0013659,PO-0016781,2025-04-29,200
GR-0013660,PO-0016782,2024-06-20,716
GR-0013661,PO-0016783,2024-06-05,1000
GR-0013662,PO-0016785,2025-12-08,41
GR-0013663,PO-0016786,2025-01-15,500
GR-0013664,PO-0016788,2024-05-28,500
GR-0013665,PO-0016789,2025-05-24,100
GR-0013666,PO-0016790,2024-07-18,500
GR-0013667,PO-0016791,2025-07-18,500
GR-0013668,PO-0016792,2024-05-04,50
GR-0013669,PO-0016793,2025-01-23,1000
GR-0013670,PO-0016794,2025-01-18,100
GR-0013671,PO-0016795,2025-01-11,1000
GR-0013672,PO-0016797,2025-03-17,200
GR-0013673,PO-0016798,2025-12-08,500
GR-0013674,PO-0016800,2024-09-01,100
GR-0013675,PO-0016801,2026-05-24,455
GR-0013676,PO-0016803,2026-05-08,50
GR-0013677,PO-0016804,2024-03-17,200
GR-0013678,PO-0016805,2024-08-20,1000
GR-0013679,PO-0016807,2024-02-21,50
GR-0013680,PO-0016808,2024-05-18,500
GR-0013681,PO-0016809,2024-09-09,200
GR-0013682,PO-0016810,2024-12-02,200
GR-0013683,PO-0016811,2024-03-28,100
GR-0013684,PO-0016812,2026-02-14,200
GR-0013685,PO-0016813,2024-10-16,50
GR-0013686,PO-0016814,2024-05-05,500
GR-0013687,PO-0016815,2025-10-25,200
GR-0013688,PO-0016816,2024-05-26,200
GR-0013689,PO-0016817,2026-04-15,200
GR-0013690,PO-0016818,2024-03-17,50
GR-0013691,PO-0016819,2024-06-18,1000
GR-0013692,PO-0016820,2025-01-09,100
GR-0013693,PO-0016821,2025-07-24,50
GR-0013694,PO-0016822,2025-05-12,721
GR-0013695,PO-0016823,2024-07-28,50
GR-0013696,PO-0016824,2025-12-29,500
GR-0013697,PO-0016825,2024-02-04,500
GR-0013698,PO-0016826,2025-04-09,100
GR-0013699,PO-0016827,2026-05-01,500
GR-0013700,PO-0016829,2024-09-15,500
GR-0013701,PO-0016830,2024-09-05,100
GR-0013702,PO-0016832,2024-05-18,1000
GR-0013703,PO-0016835,2024-09-29,200
GR-0013704,PO-0016836,2024-08-29,100
GR-0013705,PO-0016837,2025-10-18,100
GR-0013706,PO-0016838,2025-08-14,1000
GR-0013707,PO-0016840,2024-04-17,1000
GR-0013708,PO-0016841,2024-07-22,500
GR-0013709,PO-0016842,2024-07-15,1000
GR-0013710,PO-0016843,2024-03-05,50
GR-0013711,PO-0016844,2025-05-09,100
GR-0013712,PO-0016845,2026-04-02,50
GR-0013713,PO-0016846,2024-02-20,100
GR-0013714,PO-0016847,2025-02-01,50
GR-0013715,PO-0016849,2025-05-21,1000
GR-0013716,PO-0016850,2024-08-11,73
GR-0013717,PO-0016852,2024-07-01,200
GR-0013718,PO-0016853,2025-10-29,1000
GR-0013719,PO-0016854,2025-03-19,200
GR-0013720,PO-0016855,2026-02-24,100
GR-0013721,PO-0016856,2024-05-08,200
GR-0013722,PO-0016858,2024-04-18,500
GR-0013723,PO-0016859,2025-10-25,500
GR-0013724,PO-0016860,2024-12-17,500
GR-0013725,PO-0016861,2025-05-17,1000
GR-0013726,PO-0016862,2026-04-19,200
GR-0013727,PO-0016863,2025-06-28,100
GR-0013728,PO-0016864,2025-02-28,100
GR-0013729,PO-0016865,2025-01-01,100
GR-0013730,PO-0016866,2024-07-20,100
GR-0013731,PO-0016867,2024-07-26,1000
GR-0013732,PO-0016868,2024-07-29,200
GR-0013733,PO-0016869,2024-06-05,200
GR-0013734,PO-0016870,2026-04-08,1000
GR-0013735,PO-0016871,2025-01-22,200
GR-0013736,PO-0016872,2024-08-04,83
GR-0013737,PO-0016873,2024-03-21,200
GR-0013738,PO-0016874,2025-05-25,100
GR-0013739,PO-0016875,2024-07-20,1000
GR-0013740,PO-0016876,2025-01-24,200
GR-0013741,PO-0016877,2024-08-10,50
GR-0013742,PO-0016878,2024-09-29,500
GR-0013743,PO-0016879,2025-10-03,200
GR-0013744,PO-0016880,2025-02-14,500
GR-0013745,PO-0016881,2025-07-10,200
GR-0013746,PO-0016882,2025-06-29,50
GR-0013747,PO-0016883,2024-10-02,200
GR-0013748,PO-0016884,2024-12-01,500
GR-0013749,PO-0016886,2026-03-15,500
GR-0013750,PO-0016887,2025-12-30,200
GR-0013751,PO-0016888,2025-01-11,500
GR-0013752,PO-0016889,2025-06-30,1000
GR-0013753,PO-0016890,2024-03-20,500
GR-0013754,PO-0016891,2025-01-14,1000
GR-0013755,PO-0016892,2025-10-05,1000
GR-0013756,PO-0016893,2024-10-20,1000
GR-0013757,PO-0016896,2025-12-08,200
GR-0013758,PO-0016898,2024-05-18,200
GR-0013759,PO-0016899,2025-02-22,500
GR-0013760,PO-0016902,2024-07-01,200
GR-0013761,PO-0016903,2025-03-04,100
GR-0013762,PO-0016904,2025-12-05,100
GR-0013763,PO-0016906,2024-07-14,500
GR-0013764,PO-0016907,2025-04-09,100
GR-0013765,PO-0016909,2024-07-16,200
GR-0013766,PO-0016910,2026-01-08,500
GR-0013767,PO-0016911,2026-04-02,500
GR-0013768,PO-0016912,2024-04-20,500
GR-0013769,PO-0016913,2025-10-06,100
GR-0013770,PO-0016914,2025-09-18,406
GR-0013771,PO-0016915,2025-03-15,200
GR-0013772,PO-0016916,2025-03-13,500
GR-0013773,PO-0016917,2025-04-05,500
GR-0013774,PO-0016918,2024-08-11,500
GR-0013775,PO-0016920,2025-09-08,100
GR-0013776,PO-0016922,2025-08-02,200
GR-0013777,PO-0016923,2025-03-01,100
GR-0013778,PO-0016925,2024-08-29,184
GR-0013779,PO-0016926,2024-05-07,50
GR-0013780,PO-0016928,2025-12-08,200
GR-0013781,PO-0016929,2025-10-27,1000
GR-0013782,PO-0016930,2026-01-13,1000
GR-0013783,PO-0016931,2025-08-22,200
GR-0013784,PO-0016932,2025-05-28,1000
GR-0013785,PO-0016933,2024-12-24,500
GR-0013786,PO-0016934,2024-01-23,500
GR-0013787,PO-0016935,2024-06-21,100
GR-0013788,PO-0016936,2025-04-15,100
GR-0013789,PO-0016937,2025-04-29,1000
GR-0013790,PO-0016939,2024-03-09,200
GR-0013791,PO-0016940,2024-05-01,100
GR-0013792,PO-0016941,2024-06-21,500
GR-0013793,PO-0016942,2025-11-05,500
GR-0013794,PO-0016943,2025-05-03,50
GR-0013795,PO-0016944,2025-02-18,100
GR-0013796,PO-0016945,2024-09-28,100
GR-0013797,PO-0016946,2025-05-25,50
GR-0013798,PO-0016947,2025-08-29,50
GR-0013799,PO-0016948,2024-05-12,200
GR-0013800,PO-0016949,2024-03-22,37
GR-0013801,PO-0016950,2026-04-04,1000
GR-0013802,PO-0016952,2026-05-11,50
GR-0013803,PO-0016954,2026-02-19,1000
GR-0013804,PO-0016955,2025-12-03,500
GR-0013805,PO-0016956,2025-09-07,100
GR-0013806,PO-0016957,2024-09-20,1000
GR-0013807,PO-0016959,2024-06-22,100
GR-0013808,PO-0016961,2025-11-24,1000
GR-0013809,PO-0016962,2025-11-11,50
GR-0013810,PO-0016963,2025-11-14,1000
GR-0013811,PO-0016964,2024-02-29,1000
GR-0013812,PO-0016965,2025-01-20,500
GR-0013813,PO-0016966,2025-07-07,1000
GR-0013814,PO-0016967,2025-09-12,100
GR-0013815,PO-0016968,2024-06-26,500
GR-0013816,PO-0016969,2024-02-21,50
GR-0013817,PO-0016972,2026-03-13,200
GR-0013818,PO-0016973,2026-02-22,200
GR-0013819,PO-0016974,2025-01-20,500
GR-0013820,PO-0016975,2026-01-09,200
GR-0013821,PO-0016976,2024-09-11,50
GR-0013822,PO-0016977,2024-08-04,50
GR-0013823,PO-0016979,2024-11-09,1000
GR-0013824,PO-0016980,2025-05-31,472
GR-0013825,PO-0016982,2025-01-05,100
GR-0013826,PO-0016983,2025-04-12,368
GR-0013827,PO-0016984,2026-02-04,50
GR-0013828,PO-0016985,2024-05-03,500
GR-0013829,PO-0016986,2024-09-26,500
GR-0013830,PO-0016987,2024-01-25,380
GR-0013831,PO-0016989,2025-10-02,1000
GR-0013832,PO-0016990,2024-09-24,1000
GR-0013833,PO-0016991,2026-01-16,1000
GR-0013834,PO-0016992,2024-10-28,1000
GR-0013835,PO-0016993,2025-01-24,200
GR-0013836,PO-0016994,2026-05-04,500
GR-0013837,PO-0016995,2025-09-27,200
GR-0013838,PO-0016996,2025-08-01,41
GR-0013839,PO-0016997,2024-08-15,200
GR-0013840,PO-0016998,2025-10-16,100
GR-0013841,PO-0016999,2025-06-04,1000
GR-0013842,PO-0017001,2024-02-16,100
GR-0013843,PO-0017002,2025-03-23,50
GR-0013844,PO-0017003,2024-05-31,500
GR-0013845,PO-0017004,2024-10-12,100
GR-0013846,PO-0017006,2024-10-22,710
GR-0013847,PO-0017007,2025-06-10,500
GR-0013848,PO-0017009,2026-03-31,50
GR-0013849,PO-0017010,2024-08-07,100
GR-0013850,PO-0017011,2025-12-29,50
GR-0013851,PO-0017013,2026-02-26,100
GR-0013852,PO-0017014,2024-03-19,500
GR-0013853,PO-0017015,2024-09-08,1000
GR-0013854,PO-0017016,2024-12-27,100
GR-0013855,PO-0017017,2024-07-01,100
GR-0013856,PO-0017018,2025-05-02,50
GR-0013857,PO-0017021,2026-03-15,100
GR-0013858,PO-0017022,2025-09-08,50
GR-0013859,PO-0017024,2025-09-21,200
GR-0013860,PO-0017025,2024-06-06,1000
GR-0013861,PO-0017026,2025-05-20,200
GR-0013862,PO-0017027,2025-07-29,1000
GR-0013863,PO-0017028,2025-10-07,500
GR-0013864,PO-0017029,2024-09-09,100
GR-0013865,PO-0017032,2025-02-03,200
GR-0013866,PO-0017034,2024-09-06,500
GR-0013867,PO-0017035,2024-07-08,200
GR-0013868,PO-0017036,2025-07-12,500
GR-0013869,PO-0017037,2025-10-10,100
GR-0013870,PO-0017038,2025-01-30,50
GR-0013871,PO-0017039,2025-07-03,200
GR-0013872,PO-0017041,2024-09-28,100
GR-0013873,PO-0017042,2025-11-05,100
GR-0013874,PO-0017043,2026-04-01,1000
GR-0013875,PO-0017044,2025-06-03,1000
GR-0013876,PO-0017046,2024-03-20,50
GR-0013877,PO-0017047,2026-04-29,200
GR-0013878,PO-0017048,2025-03-19,50
GR-0013879,PO-0017049,2025-05-05,500
GR-0013880,PO-0017050,2026-03-02,500
GR-0013881,PO-0017051,2025-09-04,200
GR-0013882,PO-0017052,2025-02-05,180
GR-0013883,PO-0017053,2026-04-17,500
GR-0013884,PO-0017054,2025-06-29,50
GR-0013885,PO-0017055,2025-10-20,40
GR-0013886,PO-0017057,2025-12-12,100
GR-0013887,PO-0017058,2024-07-28,1000
GR-0013888,PO-0017061,2025-10-29,100
GR-0013889,PO-0017062,2024-11-22,100
GR-0013890,PO-0017063,2025-07-22,1000
GR-0013891,PO-0017064,2026-01-13,50
GR-0013892,PO-0017065,2026-01-30,100
GR-0013893,PO-0017066,2025-12-17,781
GR-0013894,PO-0017067,2026-03-24,200
GR-0013895,PO-0017068,2024-06-07,1000
GR-0013896,PO-0017069,2024-05-24,200
GR-0013897,PO-0017070,2025-10-25,500
GR-0013898,PO-0017071,2025-11-07,500
GR-0013899,PO-0017072,2024-03-01,500
GR-0013900,PO-0017073,2025-04-21,1000
GR-0013901,PO-0017074,2025-03-02,50
GR-0013902,PO-0017075,2025-08-07,500
GR-0013903,PO-0017076,2025-07-16,1000
GR-0013904,PO-0017077,2024-03-11,500
GR-0013905,PO-0017079,2024-03-01,100
GR-0013906,PO-0017080,2025-11-03,200
GR-0013907,PO-0017081,2026-05-13,500
GR-0013908,PO-0017082,2024-09-19,200
GR-0013909,PO-0017084,2026-06-07,50
GR-0013910,PO-0017085,2026-03-09,200
GR-0013911,PO-0017088,2025-09-01,100
GR-0013912,PO-0017089,2024-12-13,1000
GR-0013913,PO-0017090,2024-06-15,100
GR-0013914,PO-0017091,2025-02-15,40
GR-0013915,PO-0017092,2025-02-26,100
GR-0013916,PO-0017093,2024-04-02,376
GR-0013917,PO-0017094,2025-06-01,100
GR-0013918,PO-0017095,2024-07-06,200
GR-0013919,PO-0017097,2026-02-08,464
GR-0013920,PO-0017098,2025-03-30,1000
GR-0013921,PO-0017100,2024-05-28,1000
GR-0013922,PO-0017101,2024-06-02,50
GR-0013923,PO-0017102,2025-04-29,50
GR-0013924,PO-0017103,2025-11-15,100
GR-0013925,PO-0017104,2024-10-24,50
GR-0013926,PO-0017105,2024-08-31,50
GR-0013927,PO-0017108,2024-03-29,50
GR-0013928,PO-0017109,2025-10-20,500
GR-0013929,PO-0017110,2024-10-02,200
GR-0013930,PO-0017111,2026-03-25,185
GR-0013931,PO-0017112,2024-08-29,500
GR-0013932,PO-0017113,2024-06-19,1000
