col_a,col_b,col_c,col_d,col_e,col_f,col_g,col_h
PO-0015922,S-0059,M-0055,2025-05-09,2025-05-21,100,2843.74,CLOSED
PO-0015923,S-0017,M-0174,2025-09-01,2025-10-07,100,3721.5,CLOSED
PO-0015924,S-0059,M-0152,2024-10-31,2024-11-12,100,3750.03,CLOSED
PO-0015925,S-0029,M-0126,2025-02-25,2025-04-19,100,1758.36,CLOSED
PO-0015926,S-0030,M-0072,2024-09-28,2024-10-11,1000,2982.75,CLOSED
PO-0015927,S-0016,M-0141,2025-07-29,2025-09-14,200,758.43,CLOSED
PO-0015928,S-0049,M-0137,2026-03-09,2026-04-14,500,873.51,CLOSED
PO-0015929,S-0016,M-0141,2025-06-17,2025-08-03,200,758.43,CLOSED
PO-0015930,S-0025,M-0158,2025-03-28,2025-04-08,50,3390.44,CLOSED
PO-0015931,S-0019,M-0008,2025-11-14,2025-12-16,1000,3602.18,OPEN
PO-0015932,S-0006,M-0199,2026-02-01,2026-03-17,50,829.18,CANCELLED
PO-0015933,S-0021,M-0042,2026-01-30,2026-02-22,500,4084.28,CLOSED
PO-0015934,S-0041,M-0135,2024-06-04,2024-06-15,100,227.7,CLOSED
PO-0015935,S-0054,M-0059,2024-06-18,2024-07-07,100,145.95,CLOSED
PO-0015936,S-0010,M-0180,2024-04-03,2024-04-17,100,1411.33,CLOSED
PO-0015937,S-0044,M-0027,2024-08-28,2024-09-16,100,2184.92,CLOSED
PO-0015938,S-0017,M-0107,2026-01-06,2026-02-11,100,1183.18,CLOSED
PO-0015939,S-0041,M-0135,2024-07-10,2024-07-21,500,227.7,CLOSED
PO-0015940,S-0060,M-0124,2025-10-10,2025-10-30,100,4111.72,OPEN
PO-0015941,S-0041,M-0035,2024-07-06,2024-07-17,500,512.27,CLOSED
PO-0015942,S-0030,M-0041,2025-11-05,2025-11-18,1000,3354.51,CLOSED
PO-0015943,S-0041,M-0136,2025-06-04,2025-06-15,1000,3746.49,CLOSED
PO-0015944,S-0035,M-0087,2024-09-12,2024-10-31,1000,275.3,CLOSED
PO-0015945,S-0022,M-0076,2026-01-20,2026-03-05,50,3520.86,CLOSED
PO-0015946,S-0021,M-0111,2024-12-15,2025-01-07,1000,1682.53,CLOSED
PO-0015947,S-0048,M-0123,2025-08-22,2025-10-02,100,1417.42,OPEN
PO-0015948,S-0040,M-0016,2025-07-11,2025-08-01,1000,4329.8,CLOSED
PO-0015949,S-0053,M-0104,2024-04-19,2024-05-14,100,2223.81,CLOSED
PO-0015950,S-0019,M-0086,2025-05-05,2025-06-06,1000,938.24,CLOSED
PO-0015951,S-0040,M-0016,2024-04-01,2024-04-22,100,4329.8,CLOSED
PO-0015952,S-0019,M-0008,2024-01-02,2024-02-03,200,3602.18,CLOSED
PO-0015953,S-0004,M-0115,2025-06-13,2025-07-22,100,1840.81,CLOSED
PO-0015954,S-0053,M-0091,2026-03-05,2026-03-30,1000,2484.15,CLOSED
PO-0015955,S-0012,M-0098,2025-07-22,2025-08-02,100,824.84,CLOSED
PO-0015956,S-0012,M-0098,2025-03-19,2025-03-30,100,824.84,CLOSED
PO-0015957,S-0001,M-0077,2025-01-14,2025-03-09,500,473.78,CLOSED
PO-0015958,S-0030,M-0122,2024-11-19,2024-12-02,100,1948.75,CLOSED
PO-0015959,S-0050,M-0171,2025-11-02,2025-12-20,1000,64.04,OPEN
PO-0015960,S-0030,M-0072,2026-02-07,2026-02-20,200,2982.75,CLOSED
PO-0015961,S-0031,M-0037,2025-10-08,2025-11-07,500,2304.31,CLOSED
PO-0015962,S-0020,M-0105,2024-08-31,2024-10-18,200,2527.34,CLOSED
PO-0015963,S-0059,M-0179,2024-08-31,2024-09-12,1000,4501.37,OPEN
PO-0015964,S-0052,M-0040,2025-07-24,2025-08-10,1000,298.58,CLOSED
PO-0015965,S-0039,M-0094,2024-11-07,2024-12-05,200,3889.68,CLOSED
PO-0015966,S-0016,M-0141,2026-02-18,2026-04-06,500,758.43,CLOSED
PO-0015967,S-0030,M-0072,2025-06-01,2025-06-14,50,2982.75,OPEN
PO-0015968,S-0041,M-0011,2026-03-05,2026-03-16,500,3719.09,CLOSED
PO-0015969,S-0030,M-0182,2024-09-24,2024-10-07,1000,2179.49,CANCELLED
PO-0015970,S-0054,M-0059,2025-09-16,2025-10-05,100,145.95,CLOSED
PO-0015971,S-0017,M-0154,2024-02-23,2024-03-30,200,3745.47,OPEN
PO-0015972,S-0012,M-0140,2026-01-21,2026-02-01,200,4360.66,CLOSED
PO-0015973,S-0026,M-0001,2025-09-25,2025-10-18,200,3245.23,OPEN
PO-0015974,S-0049,M-0051,2024-09-28,2024-11-03,500,2714.19,CLOSED
PO-0015975,S-0029,M-0126,2025-09-29,2025-11-21,500,1758.36,CLOSED
PO-0015976,S-0047,M-0083,2025-06-15,2025-07-13,100,641.8,CLOSED
PO-0015977,S-0038,M-0176,2025-10-16,2025-11-25,500,2544,CLOSED
PO-0015978,S-0040,M-0159,2024-07-21,2024-08-11,1000,4580.52,CLOSED
PO-0015979,S-0044,M-0143,2025-10-29,2025-11-17,100,415.62,CLOSED
PO-0015980,S-0012,M-0084,2024-02-25,2024-03-07,500,3706.09,CLOSED
PO-0015981,S-0047,M-0177,2025-09-17,2025-10-15,100,2317.31,CLOSED
PO-0015982,S-0028,M-0012,2024-09-19,2024-10-14,50,603.78,CLOSED
PO-0015983,S-0003,M-0130,2026-02-03,2026-03-09,500,4828.5,CLOSED
PO-0015984,S-0017,M-0063,2024-09-19,2024-10-25,50,3049.17,CLOSED
PO-0015985,S-0017,M-0113,2024-03-14,2024-04-19,500,4852.41,CLOSED
PO-0015986,S-0011,M-0054,2024-12-23,2025-02-07,100,4904.57,CLOSED
PO-0015987,S-0030,M-0155,2026-04-26,2026-05-09,50,3783.05,CLOSED
PO-0015988,S-0054,M-0059,2026-01-12,2026-01-31,500,145.95,CLOSED
PO-0015989,S-0003,M-0014,2024-01-05,2024-02-08,200,4499.96,CLOSED
PO-0015990,S-0017,M-0107,2025-04-14,2025-05-20,200,1183.18,CLOSED
PO-0015991,S-0038,M-0176,2024-03-08,2024-04-17,50,2544,CLOSED
PO-0015992,S-0055,M-0075,2024-11-10,2024-12-07,50,2463.37,CLOSED
PO-0015993,S-0046,M-0121,2024-06-07,2024-07-25,200,4181.88,CLOSED
PO-0015994,S-0005,M-0170,2025-10-27,2025-12-14,200,2952.6,CLOSED
PO-0015995,S-0022,M-0076,2025-10-20,2025-12-03,500,3520.86,CLOSED
PO-0015996,S-0031,M-0062,2026-04-21,2026-05-21,100,4741.4,CLOSED
PO-0015997,S-0020,M-0020,2024-04-24,2024-06-11,100,167.14,CLOSED
PO-0015998,S-0016,M-0141,2025-06-15,2025-08-01,100,758.43,CLOSED
PO-0015999,S-0029,M-0117,2025-02-27,2025-04-21,1000,192.9,CLOSED
PO-0016000,S-0048,M-0148,2024-12-30,2025-02-09,500,3889.92,CLOSED
PO-0016001,S-0029,M-0126,2025-12-22,2026-02-13,200,1758.36,CLOSED
PO-0016002,S-0017,M-0026,2024-09-20,2024-10-26,50,2208.48,CLOSED
PO-0016003,S-0036,M-0078,2025-06-10,2025-07-25,500,2406.66,OPEN
PO-0016004,S-0011,M-0198,2025-06-26,2025-08-11,100,3621.9,OPEN
PO-0016005,S-0059,M-0129,2024-12-09,2024-12-21,100,4942.65,CLOSED
PO-0016006,S-0043,M-0163,2026-02-08,2026-03-23,50,2957.33,CLOSED
PO-0016007,S-0022,M-0076,2025-10-14,2025-11-27,50,3520.86,CLOSED
PO-0016008,S-0038,M-0066,2025-12-26,2026-02-04,500,3501.11,CLOSED
PO-0016009,S-0029,M-0116,2024-04-13,2024-06-05,1000,1371.93,CLOSED
PO-0016010,S-0036,M-0078,2025-06-29,2025-08-13,100,2406.66,CLOSED
PO-0016011,S-0038,M-0066,2024-08-19,2024-09-28,100,3501.11,CLOSED
PO-0016012,S-0039,M-0033,2024-07-31,2024-08-28,200,2236.84,CLOSED
PO-0016013,S-0017,M-0142,2024-04-25,2024-05-31,1000,3350.86,CLOSED
PO-0016014,S-0019,M-0086,2025-06-11,2025-07-13,100,938.24,CLOSED
PO-0016015,S-0057,M-0004,2024-09-24,2024-10-05,50,1879.16,CLOSED
PO-0016016,S-0031,M-0062,2025-05-28,2025-06-27,50,4741.4,CLOSED
PO-0016017,S-0010,M-0047,2026-04-30,2026-05-14,200,3485.05,OPEN
PO-0016018,S-0020,M-0105,2024-11-16,2025-01-03,200,2527.34,CLOSED
PO-0016019,S-0056,M-0131,2024-08-25,2024-10-04,100,2653.46,CLOSED
PO-0016020,S-0057,M-0184,2025-09-23,2025-10-04,500,1727.71,CLOSED
PO-0016021,S-0003,M-0014,2025-11-02,2025-12-06,100,4499.96,CLOSED
PO-0016022,S-0036,M-0078,2026-01-26,2026-03-12,500,2406.66,CLOSED
PO-0016023,S-0048,M-0123,2024-11-03,2024-12-14,500,1417.42,CLOSED
PO-0016024,S-0054,M-0032,2024-02-26,2024-03-16,200,1470.22,OPEN
PO-0016025,S-0017,M-0107,2025-10-21,2025-11-26,1000,1183.18,CLOSED
PO-0016026,S-0021,M-0028,2025-03-22,2025-04-14,50,4505.23,CLOSED
PO-0016027,S-0044,M-0065,2025-10-24,2025-11-12,50,4710.28,CLOSED
PO-0016028,S-0029,M-0126,2025-03-07,2025-04-29,500,1758.36,CANCELLED
PO-0016029,S-0031,M-0178,2024-09-17,2024-10-17,50,3446.18,CLOSED
PO-0016030,S-0043,M-0168,2025-12-04,2026-01-16,200,3215.49,CLOSED
PO-0016031,S-0009,M-0153,2025-09-06,2025-10-21,100,2677.72,CLOSED
PO-0016032,S-0022,M-0076,2025-05-29,2025-07-12,1000,3520.86,CLOSED
PO-0016033,S-0059,M-0179,2025-08-05,2025-08-17,200,4501.37,CLOSED
PO-0016034,S-0042,M-0022,2026-02-19,2026-04-09,50,3413.61,CLOSED
PO-0016035,S-0021,M-0042,2024-01-29,2024-02-21,200,4084.28,CLOSED
PO-0016036,S-0005,M-0103,2025-10-16,2025-12-03,50,3973.51,OPEN
PO-0016037,S-0044,M-0065,2025-11-29,2025-12-18,50,4710.28,CLOSED
PO-0016038,S-0057,M-0184,2024-04-16,2024-04-27,200,1727.71,CLOSED
PO-0016039,S-0041,M-0011,2025-08-31,2025-09-11,100,3719.09,CLOSED
PO-0016040,S-0027,M-0185,2025-05-28,2025-07-08,100,2162.48,CLOSED
PO-0016041,S-0002,M-0108,2024-07-11,2024-07-24,200,249.15,CLOSED
PO-0016042,S-0043,M-0191,2024-11-17,2024-12-30,200,4244.01,CLOSED
PO-0016043,S-0018,M-0046,2025-09-02,2025-09-29,200,4470.48,OPEN
PO-0016044,S-0002,M-0017,2026-01-02,2026-01-15,100,4626.21,OPEN
PO-0016045,S-0047,M-0083,2026-01-07,2026-02-04,100,641.8,CLOSED
PO-0016046,S-0031,M-0178,2025-02-09,2025-03-11,1000,3446.18,CLOSED
PO-0016047,S-0008,M-0102,2025-02-14,2025-02-27,200,3255.79,CLOSED
PO-0016048,S-0030,M-0072,2024-07-20,2024-08-02,1000,2982.75,CLOSED
PO-0016049,S-0006,M-0134,2024-10-19,2024-12-02,50,4303.74,CLOSED
PO-0016050,S-0025,M-0158,2024-02-10,2024-02-21,50,3390.44,CLOSED
PO-0016051,S-0034,M-0071,2025-06-20,2025-08-12,50,4050.59,CLOSED
PO-0016052,S-0023,M-0082,2025-02-27,2025-03-14,200,1567.78,OPEN
PO-0016053,S-0008,M-0102,2025-02-09,2025-02-22,100,3255.79,CLOSED
PO-0016054,S-0021,M-0042,2024-12-05,2024-12-28,200,4084.28,CLOSED
PO-0016055,S-0006,M-0119,2024-11-17,2024-12-31,50,2334.17,CLOSED
PO-0016056,S-0028,M-0187,2025-02-11,2025-03-08,200,3707.04,OPEN
PO-0016057,S-0043,M-0006,2025-12-16,2026-01-28,500,4662.19,CLOSED
PO-0016058,S-0041,M-0045,2026-02-16,2026-02-27,1000,2227.37,CLOSED
PO-0016059,S-0022,M-0090,2024-11-07,2024-12-21,500,1299.77,CLOSED
PO-0016060,S-0048,M-0123,2024-07-23,2024-09-02,50,1417.42,CLOSED
PO-0016061,S-0030,M-0182,2025-09-23,2025-10-06,1000,2179.49,CLOSED
PO-0016062,S-0019,M-0088,2025-01-01,2025-02-02,100,4348.88,CLOSED
PO-0016063,S-0001,M-0147,2025-02-06,2025-04-01,100,3902.64,OPEN
PO-0016064,S-0006,M-0199,2025-08-01,2025-09-14,500,829.18,CLOSED
PO-0016065,S-0016,M-0141,2024-04-25,2024-06-11,100,758.43,CLOSED
PO-0016066,S-0042,M-0056,2024-08-21,2024-10-09,1000,4340.91,CLOSED
PO-0016067,S-0028,M-0068,2024-03-10,2024-04-04,500,2554.51,OPEN
PO-0016068,S-0017,M-0142,2024-11-11,2024-12-17,50,3350.86,OPEN
PO-0016069,S-0017,M-0174,2024-03-13,2024-04-18,200,3721.5,CLOSED
PO-0016070,S-0044,M-0092,2025-02-26,2025-03-17,50,788.53,CLOSED
PO-0016071,S-0006,M-0199,2025-01-30,2025-03-15,50,829.18,CLOSED
PO-0016072,S-0041,M-0110,2025-05-31,2025-06-11,50,2376.55,OPEN
PO-0016073,S-0017,M-0057,2024-04-06,2024-05-12,200,1097.72,OPEN
PO-0016074,S-0016,M-0061,2025-10-23,2025-12-09,500,3125.61,CLOSED
PO-0016075,S-0052,M-0040,2025-03-12,2025-03-29,200,298.58,CANCELLED
PO-0016076,S-0028,M-0068,2024-02-12,2024-03-08,500,2554.51,CLOSED
PO-0016077,S-0017,M-0007,2025-10-09,2025-11-14,500,3724.96,CLOSED
PO-0016078,S-0060,M-0124,2025-09-17,2025-10-07,100,4111.72,CLOSED
PO-0016079,S-0004,M-0115,2024-03-24,2024-05-02,100,1840.81,CLOSED
PO-0016080,S-0009,M-0161,2025-06-14,2025-07-29,500,1556.6,OPEN
PO-0016081,S-0006,M-0199,2024-06-12,2024-07-26,500,829.18,CLOSED
PO-0016082,S-0019,M-0086,2024-07-20,2024-08-21,200,938.24,CLOSED
PO-0016083,S-0039,M-0025,2024-07-25,2024-08-22,200,1956.72,OPEN
PO-0016084,S-0007,M-0162,2024-02-06,2024-03-11,1000,721.54,CLOSED
PO-0016085,S-0043,M-0168,2025-04-12,2025-05-25,50,3215.49,CLOSED
PO-0016086,S-0037,M-0096,2026-03-30,2026-04-25,500,3067.67,CLOSED
PO-0016087,S-0060,M-0002,2026-02-22,2026-03-14,50,2318.51,OPEN
PO-0016088,S-0006,M-0119,2024-10-11,2024-11-24,200,2334.17,CLOSED
PO-0016089,S-0042,M-0022,2025-08-19,2025-10-07,50,3413.61,CLOSED
PO-0016090,S-0004,M-0115,2025-09-26,2025-11-04,100,1840.81,CLOSED
PO-0016091,S-0059,M-0152,2025-07-22,2025-08-03,500,3750.03,CLOSED
PO-0016092,S-0009,M-0030,2025-09-13,2025-10-28,1000,3341.4,CLOSED
PO-0016093,S-0020,M-0144,2026-01-22,2026-03-11,50,1287.99,CLOSED
PO-0016094,S-0005,M-0003,2025-02-25,2025-04-14,1000,2554.13,CLOSED
PO-0016095,S-0020,M-0020,2024-11-01,2024-12-19,500,167.14,CLOSED
PO-0016096,S-0048,M-0175,2025-02-06,2025-03-19,1000,2268.96,CLOSED
PO-0016097,S-0002,M-0023,2024-08-26,2024-09-08,50,933.91,CLOSED
PO-0016098,S-0006,M-0106,2025-06-01,2025-07-15,100,4452.64,OPEN
PO-0016099,S-0021,M-0042,2024-08-08,2024-08-31,50,4084.28,OPEN
PO-0016100,S-0026,M-0196,2025-03-22,2025-04-14,500,3717.8,OPEN
PO-0016101,S-0041,M-0011,2024-02-17,2024-02-28,200,3719.09,OPEN
PO-0016102,S-0056,M-0131,2025-05-12,2025-06-21,200,2653.46,CANCELLED
PO-0016103,S-0044,M-0150,2025-10-06,2025-10-25,1000,530.96,CLOSED
PO-0016104,S-0052,M-0040,2026-03-19,2026-04-05,1000,298.58,CLOSED
PO-0016105,S-0034,M-0071,2024-01-07,2024-02-29,500,4050.59,CLOSED
PO-0016106,S-0017,M-0113,2025-04-07,2025-05-13,100,4852.41,CLOSED
PO-0016107,S-0017,M-0113,2025-07-04,2025-08-09,50,4852.41,CLOSED
PO-0016108,S-0051,M-0169,2024-12-26,2025-01-28,1000,4944.66,CLOSED
PO-0016109,S-0022,M-0021,2026-04-04,2026-05-18,100,4836.1,CLOSED
PO-0016110,S-0012,M-0098,2026-04-22,2026-05-03,50,824.84,CLOSED
PO-0016111,S-0001,M-0173,2026-02-04,2026-03-30,100,2964.82,CLOSED
PO-0016112,S-0025,M-0128,2026-04-19,2026-04-30,100,266.05,CLOSED
PO-0016113,S-0021,M-0111,2025-09-14,2025-10-07,200,1682.53,CLOSED
PO-0016114,S-0036,M-0078,2024-04-30,2024-06-14,100,2406.66,CLOSED
PO-0016115,S-0059,M-0055,2025-04-15,2025-04-27,1000,2843.74,CLOSED
PO-0016116,S-0023,M-0195,2025-01-05,2025-01-20,500,4355.82,CLOSED
PO-0016117,S-0042,M-0183,2024-01-14,2024-03-03,200,4334.19,CLOSED
PO-0016118,S-0029,M-0126,2025-02-08,2025-04-02,50,1758.36,CLOSED
PO-0016119,S-0031,M-0062,2024-08-06,2024-09-05,50,4741.4,CLOSED
PO-0016120,S-0010,M-0047,2024-04-04,2024-04-18,100,3485.05,CLOSED
PO-0016121,S-0055,M-0069,2025-07-29,2025-08-25,500,572.42,CLOSED
PO-0016122,S-0017,M-0007,2024-02-12,2024-03-19,50,3724.96,CLOSED
PO-0016123,S-0042,M-0022,2025-04-07,2025-05-26,200,3413.61,CLOSED
PO-0016124,S-0006,M-0199,2024-04-03,2024-05-17,200,829.18,CLOSED
PO-0016125,S-0041,M-0110,2026-04-11,2026-04-22,50,2376.55,CLOSED
PO-0016126,S-0039,M-0094,2024-07-17,2024-08-14,50,3889.68,CLOSED
PO-0016127,S-0046,M-0121,2026-02-16,2026-04-05,50,4181.88,CLOSED
PO-0016128,S-0041,M-0136,2024-12-25,2025-01-05,100,3746.49,CLOSED
PO-0016129,S-0029,M-0126,2026-03-18,2026-05-10,200,1758.36,CLOSED
PO-0016130,S-0039,M-0025,2026-01-15,2026-02-12,100,1956.72,CLOSED
PO-0016131,S-0029,M-0126,2024-02-29,2024-04-22,1000,1758.36,CLOSED
PO-0016132,S-0042,M-0164,2026-01-20,2026-03-10,200,3097.48,CLOSED
PO-0016133,S-0026,M-0167,2026-03-10,2026-04-02,500,4842.62,CLOSED
PO-0016134,S-0040,M-0016,2025-01-07,2025-01-28,500,4329.8,CLOSED
PO-0016135,S-0053,M-0114,2026-02-18,2026-03-15,50,4353.37,CLOSED
PO-0016136,S-0056,M-0131,2024-03-12,2024-04-21,500,2653.46,CLOSED
PO-0016137,S-0059,M-0055,2025-09-02,2025-09-14,1000,2843.74,CLOSED
PO-0016138,S-0037,M-0096,2024-11-28,2024-12-24,500,3067.67,CLOSED
PO-0016139,S-0030,M-0041,2026-02-13,2026-02-26,50,3354.51,CLOSED
PO-0016140,S-0041,M-0045,2024-10-17,2024-10-28,50,2227.37,CLOSED
PO-0016141,S-0002,M-0053,2024-09-02,2024-09-15,200,3360.92,CLOSED
PO-0016142,S-0015,M-0101,2025-06-21,2025-07-11,50,2969.46,CLOSED
PO-0016143,S-0041,M-0110,2025-04-29,2025-05-10,200,2376.55,CLOSED
PO-0016144,S-0057,M-0184,2025-12-20,2025-12-31,200,1727.71,CLOSED
PO-0016145,S-0031,M-0178,2025-08-09,2025-09-08,100,3446.18,OPEN
PO-0016146,S-0040,M-0016,2026-03-29,2026-04-19,50,4329.8,CLOSED
PO-0016147,S-0034,M-0081,2024-07-21,2024-09-12,500,4983.33,CLOSED
PO-0016148,S-0041,M-0011,2025-02-08,2025-02-19,50,3719.09,CLOSED
PO-0016149,S-0020,M-0190,2025-05-30,2025-07-17,100,2910.7,CLOSED
PO-0016150,S-0025,M-0128,2024-07-09,2024-07-20,1000,266.05,CLOSED
PO-0016151,S-0006,M-0119,2025-11-07,2025-12-21,50,2334.17,CLOSED
PO-0016152,S-0043,M-0112,2024-06-11,2024-07-24,50,231.65,CLOSED
PO-0016153,S-0016,M-0061,2025-06-21,2025-08-07,100,3125.61,CLOSED
PO-0016154,S-0002,M-0017,2026-01-19,2026-02-01,50,4626.21,CLOSED
PO-0016155,S-0022,M-0090,2026-02-23,2026-04-08,500,1299.77,CLOSED
PO-0016156,S-0004,M-0115,2024-03-17,2024-04-25,200,1840.81,CLOSED
PO-0016157,S-0039,M-0067,2025-11-11,2025-12-09,500,3924.04,CLOSED
PO-0016158,S-0019,M-0088,2025-12-19,2026-01-20,500,4348.88,CLOSED
PO-0016159,S-0048,M-0123,2024-11-09,2024-12-20,1000,1417.42,CLOSED
PO-0016160,S-0022,M-0021,2025-12-17,2026-01-30,200,4836.1,CLOSED
PO-0016161,S-0047,M-0083,2024-04-18,2024-05-16,50,641.8,CLOSED
PO-0016162,S-0017,M-0044,2024-10-03,2024-11-08,1000,1422.69,CLOSED
PO-0016163,S-0009,M-0153,2026-02-25,2026-04-11,200,2677.72,CLOSED
PO-0016164,S-0016,M-0061,2024-03-18,2024-05-04,200,3125.61,CLOSED
PO-0016165,S-0016,M-0141,2024-06-01,2024-07-18,100,758.43,CLOSED
PO-0016166,S-0059,M-0152,2024-05-22,2024-06-03,100,3750.03,CLOSED
PO-0016167,S-0028,M-0012,2024-08-16,2024-09-10,1000,603.78,CLOSED
PO-0016168,S-0034,M-0081,2024-03-05,2024-04-27,200,4983.33,CLOSED
PO-0016169,S-0044,M-0143,2024-11-16,2024-12-05,100,415.62,CLOSED
PO-0016170,S-0042,M-0164,2025-08-22,2025-10-10,1000,3097.48,CLOSED
PO-0016171,S-0048,M-0148,2024-09-17,2024-10-28,100,3889.92,CLOSED
PO-0016172,S-0031,M-0037,2024-08-21,2024-09-20,50,2304.31,CLOSED
PO-0016173,S-0002,M-0017,2025-04-19,2025-05-02,100,4626.21,CLOSED
PO-0016174,S-0031,M-0133,2024-03-01,2024-03-31,100,3135.13,CLOSED
PO-0016175,S-0010,M-0047,2024-08-06,2024-08-20,500,3485.05,CLOSED
PO-0016176,S-0010,M-0186,2024-04-02,2024-04-16,500,501.56,CLOSED
PO-0016177,S-0045,M-0099,2025-03-14,2025-04-17,100,1491.73,CLOSED
PO-0016178,S-0027,M-0185,2024-08-04,2024-09-14,100,2162.48,CLOSED
PO-0016179,S-0019,M-0088,2025-09-07,2025-10-09,200,4348.88,OPEN
PO-0016180,S-0028,M-0187,2024-12-19,2025-01-13,200,3707.04,CLOSED
PO-0016181,S-0042,M-0164,2026-04-21,2026-06-09,500,3097.48,CLOSED
PO-0016182,S-0007,M-0162,2025-07-15,2025-08-18,50,721.54,CLOSED
PO-0016183,S-0007,M-0162,2025-07-14,2025-08-17,500,721.54,CLOSED
PO-0016184,S-0047,M-0156,2025-05-28,2025-06-25,100,1860.59,CLOSED
PO-0016185,S-0022,M-0090,2024-04-09,2024-05-23,100,1299.77,CLOSED
PO-0016186,S-0017,M-0113,2024-03-01,2024-04-06,500,4852.41,CLOSED
PO-0016187,S-0041,M-0097,2025-09-03,2025-09-14,500,3319.12,CLOSED
PO-0016188,S-0043,M-0168,2026-03-22,2026-05-04,200,3215.49,CLOSED
PO-0016189,S-0044,M-0092,2025-04-23,2025-05-12,200,788.53,OPEN
PO-0016190,S-0010,M-0139,2024-01-14,2024-01-28,1000,2089.66,CLOSED
PO-0016191,S-0037,M-0074,2025-06-25,2025-07-21,1000,1926,CLOSED
PO-0016192,S-0014,M-0015,2024-09-09,2024-10-26,1000,558.83,CLOSED
PO-0016193,S-0038,M-0066,2024-11-01,2024-12-11,200,3501.11,OPEN
PO-0016194,S-0017,M-0174,2025-09-20,2025-10-26,50,3721.5,CLOSED
PO-0016195,S-0009,M-0030,2025-03-08,2025-04-22,200,3341.4,CLOSED
PO-0016196,S-0001,M-0147,2025-12-26,2026-02-18,500,3902.64,CLOSED
PO-0016197,S-0038,M-0176,2024-03-22,2024-05-01,1000,2544,CLOSED
PO-0016198,S-0017,M-0154,2025-10-15,2025-11-20,100,3745.47,OPEN
PO-0016199,S-0014,M-0049,2025-04-18,2025-06-04,1000,4528.95,CLOSED
PO-0016200,S-0060,M-0124,2024-02-26,2024-03-17,500,4111.72,CLOSED
PO-0016201,S-0017,M-0007,2024-10-30,2024-12-05,100,3724.96,CLOSED
PO-0016202,S-0059,M-0179,2026-02-28,2026-03-12,200,4501.37,CLOSED
PO-0016203,S-0054,M-0032,2024-02-25,2024-03-15,500,1470.22,CLOSED
PO-0016204,S-0043,M-0006,2025-07-18,2025-08-30,50,4662.19,CLOSED
PO-0016205,S-0031,M-0133,2024-10-13,2024-11-12,50,3135.13,CANCELLED
PO-0016206,S-0005,M-0103,2025-12-25,2026-02-11,200,3973.51,CLOSED
PO-0016207,S-0002,M-0053,2025-12-11,2025-12-24,1000,3360.92,CLOSED
PO-0016208,S-0030,M-0041,2024-11-03,2024-11-16,1000,3354.51,CLOSED
PO-0016209,S-0037,M-0074,2026-03-30,2026-04-25,1000,1926,CLOSED
PO-0016210,S-0017,M-0107,2026-03-05,2026-04-10,100,1183.18,CANCELLED
PO-0016211,S-0054,M-0073,2024-06-10,2024-06-29,500,4414.07,OPEN
PO-0016212,S-0046,M-0038,2024-09-30,2024-11-17,100,2028.28,CLOSED
PO-0016213,S-0027,M-0048,2025-07-23,2025-09-02,500,2735.93,OPEN
PO-0016214,S-0017,M-0063,2025-11-28,2026-01-03,50,3049.17,OPEN
PO-0016215,S-0059,M-0152,2024-06-14,2024-06-26,1000,3750.03,CLOSED
PO-0016216,S-0023,M-0189,2024-11-02,2024-11-17,50,304.66,CLOSED
PO-0016217,S-0012,M-0084,2025-12-10,2025-12-21,50,3706.09,CLOSED
PO-0016218,S-0028,M-0068,2025-02-02,2025-02-27,200,2554.51,CLOSED
PO-0016219,S-0039,M-0025,2025-11-18,2025-12-16,100,1956.72,CLOSED
PO-0016220,S-0019,M-0088,2026-02-28,2026-04-01,500,4348.88,CLOSED
PO-0016221,S-0042,M-0022,2024-03-08,2024-04-26,50,3413.61,OPEN
PO-0016222,S-0055,M-0075,2024-03-14,2024-04-10,200,2463.37,CLOSED
PO-0016223,S-0044,M-0200,2025-11-07,2025-11-26,500,2243.41,CLOSED
PO-0016224,S-0004,M-0188,2024-03-27,2024-05-05,50,2830.33,CLOSED
PO-0016225,S-0020,M-0144,2024-12-28,2025-02-14,100,1287.99,CLOSED
PO-0016226,S-0020,M-0144,2025-08-16,2025-10-03,200,1287.99,CLOSED
PO-0016227,S-0016,M-0061,2025-02-25,2025-04-13,200,3125.61,CLOSED
PO-0016228,S-0054,M-0059,2024-07-18,2024-08-06,500,145.95,CLOSED
PO-0016229,S-0031,M-0034,2026-01-18,2026-02-17,100,469.74,CLOSED
PO-0016230,S-0044,M-0200,2024-06-23,2024-07-12,500,2243.41,CLOSED
PO-0016231,S-0038,M-0066,2024-08-10,2024-09-19,50,3501.11,CLOSED
PO-0016232,S-0042,M-0164,2025-01-26,2025-03-16,1000,3097.48,CLOSED
PO-0016233,S-0046,M-0181,2024-07-11,2024-08-28,100,4973.41,CLOSED
PO-0016234,S-0060,M-0124,2024-03-13,2024-04-02,50,4111.72,CLOSED
PO-0016235,S-0052,M-0040,2025-07-10,2025-07-27,200,298.58,CLOSED
PO-0016236,S-0053,M-0091,2025-09-12,2025-10-07,50,2484.15,CLOSED
PO-0016237,S-0041,M-0045,2024-03-16,2024-03-27,200,2227.37,CLOSED
PO-0016238,S-0006,M-0119,2025-12-05,2026-01-18,500,2334.17,CLOSED
PO-0016239,S-0040,M-0016,2025-06-03,2025-06-24,1000,4329.8,OPEN
